,company_ceo,company_country,company_employees,company_founded,company_location,company_industry,company_revenue,company_name,company_ipo_code
910, Mr. Elon R. Musk,United States," 99,290"," JulyÂ 1, 2003","PaloAlto,CA,UnitedStates",Auto Manufacturers,$1.016 T,"Tesla, Inc.",TSLA
911, Mr. Andrew R. Jassy,United States," 1,608,000"," JulyÂ 5, 1994","Seattle,WA,UnitedStates",Internet Retail,$1.642 T,"Amazon.com, Inc.",AMZN
912, Mr. Sundar  Pichai,United States," 156,500"," OctoberÂ 2, 2015","MountainView,CA,UnitedStates",Internet Content & Information,$1.825 T,Alphabet Inc.,GOOG
913, Mr. Amin H. Nasser,Saudi Arabia,,,"Dhahran,SaudiArabia",Oil & Gas Integrated,$2.297 T,Saudi Arabian Oil Company,2222
914, Mr. Satya  Nadella,United States," 181,000"," AprilÂ 4, 1975","Redmond,WA,UnitedStates",SoftwareâInfrastructure,$2.328 T,Microsoft Corporation,MSFT
915, Mr. Timothy D. Cook,United States," 100,000"," AprilÂ 1, 1976","Cupertino,CA,UnitedStates",Consumer Electronics,$2.825 T,Apple Inc.,AAPL
916, Dr. Lisa T. Su Ph.D.,United States," 15,500"," MayÂ 1, 1969","SantaClara,CA,UnitedStates",Semiconductors,$128.29 B,"Advanced Micro Devices, Inc.",AMD
917, Mr. John C. May II,United States," 75,550", 1837,"Moline,IL,UnitedStates",Farm & Heavy Construction Machinery,$130.31 B,Deere & Company,DE
918, Mr. Paul  Hudson,France," 95,442", 1973,"Paris,France",Drug ManufacturersâGeneral,$132.29 B,Sanofi,SAN
919, Mr. Daniel H. Schulman,United States," 30,900", DecemberÂ 1998,"SanJose,CA,UnitedStates",Credit Services,$133.92 B,"PayPal Holdings, Inc.",PYPL
920, Mr. Christian  Klein,Germany," 107,415"," Weinheim, Germany1972","Walldorf,Germany",SoftwareâApplication,$134.19 B,SAP SE,SAP
921, Mr. Bo  Yao,China," 355,982",,"Shenzhen,China",InsuranceâLife,$134.25 B,Ping An Insurance (Group) Company of China Ltd,601318
922, Ms. Karen Sue Lynch,United States," 216,000", 1963,"Woonsocket,RI,UnitedStates",Healthcare Plans,$135.27 B,CVS Health Corporation,CVS
923, Mr. Ryan M. Lance,United States," 9,900", 30Â August 2002,"Houston,TX,UnitedStates",Oil & Gas E&P,$136.32 B,ConocoPhillips,COP
924, Mr. Darius E. Adamczyk,United States," 99,000", 1906,"Charlotte,NC,UnitedStates",Specialty Industrial Machinery,$136.48 B,Honeywell International Inc.,HON
925, Mr. Patrick  PouyannÃÂ©,France," 105,476", 28Â March 1924,"Paris,France",Oil & Gas Integrated,$137.50 B,TotalEnergies SE,TTE
926, Mr. Xin  Dong,Hong Kong," 449,934",,"HongKong,HongKong",Telecom Services,$139.30 B,China Mobile Ltd,0941
927, Mr. Noel Paul Quinn,United Kingdom," 219,697", First established on 3Â March 1865,"London,UnitedKingdom",Banks,$140.15 B,HSBC Holdings plc,HSBA
928,,China," 309,084",,"Beijing,China",Banks,$141.22 B,Bank of China Ltd,601988
929, Mr. Robert A. Bradway,United States," 24,200"," AprilÂ 8, 1980","ThousandOaks,CA,UnitedStates",Drug ManufacturersâGeneral,$141.72 B,Amgen Inc.,AMGN
930, Mr. Marvin R. Ellison,United States," 300,000"," MarchÂ 25, 1921","Mooresville,NC,UnitedStates",Home Improvement Retail,$143.77 B,"Lowe's Companies, Inc.",LOW
931, Mr. Matthew  Comyn,Australia," 47,532", 22Â DecemberÂ 1911,"Sydney,NSW,Australia",Banks,$144.32 B,Commonwealth Bank of Australia,CBA
932,,China," 432,003", 5Â November 1999,"Beijing,China",Oil & Gas Integrated,$144.50 B,PetroChina Company Limited,601857
933, Mr. Bharat B. Masrani,Canada," 90,000", 1Â February 1955,"Toronto,ON,Canada",Banks,$145.41 B,Toronto-Dominion Bank,TD
934,,France," 17,595", 1837,"Paris,France",Luxury Goods,$148.98 B,HermÃ¨s International SCA,RMS
935, Mr. Stephen Joseph Squeri,United States," 64,000"," MarchÂ 18, 1850","NewYork,NY,UnitedStates",Credit Services,$150.76 B,American Express Company,AXP
936, Mr. Gregory J. Hayes,United States," 174,000", 2020,"Waltham,MA,UnitedStates",Aerospace & Defense,$150.96 B,Raytheon Technologies Corporation,RTX
937, Mr. Geoffrey Straub Martha,Ireland," 90,000", 2001Â ,"Dublin,Ireland",Medical Devices,$151.06 B,Medtronic plc,MDT
938, Mr. Jacek  Olczak,United States," 69,600", 2008,"NewYork,NY,UnitedStates",Tobacco,$154.71 B,Philip Morris International Inc.,PM
939, Mr. Walter William Bettinger II,United States," 33,400", 1971,"SanFrancisco,CA,UnitedStates",Capital Markets,$158.06 B,The Charles Schwab Corporation,SCHW
940, Mr. David I. McKay,Canada," 85,211",,"Toronto,ON,Canada",Banks,$159.74 B,Royal Bank of Canada,RY
941, Mr. Wilmot Reed Hastings Jr.,United States," 11,300"," AugustÂ 29, 1997","LosGatos,CA,UnitedStates",Entertainment,$163.19 B,"Netflix, Inc.",NFLX
942, Mr. James Patrick Gorman,United States," 75,000", 1935,"NewYork,NY,UnitedStates",Capital Markets,$164.05 B,Morgan Stanley,MS
943, Mr. G. Michael Sievert,United States," 75,000", 1994,"Bellevue,WA,UnitedStates",Telecom Services,$164.31 B,"T-Mobile US, Inc.",TMUS
944,,China," 459,000",,"Beijing,China",Banks,$165.00 B,Agricultural Bank of China Ltd,601288
945, Mr. John W. Ketchum,United States," 15,000", 1984,"JunoBeach,FL,UnitedStates",UtilitiesâRegulated Electric,$165.53 B,"NextEra Energy, Inc.",NEE
946, Mr. Sanjiv  Lamba,United Kingdom," 72,327", 21Â June 1879,"Guildford,UnitedKingdom",Specialty Chemicals,$166.07 B,Linde plc,LIN
947, Mr. Bob  van Dijk,Netherlands," 23,939",,"Amsterdam,Netherlands",Internet Content & Information,$170.00 B,Prosus N.V.,PRX
948, Dr. Giovanni  Caforio M.D.,United States," 32,200", 1887,"NewYork,NY,UnitedStates",Drug ManufacturersâGeneral,$170.56 B,Bristol-Myers Squibb Company,BMY
949, Mr. Richard K. Templeton,United States," 31,000", 1930,"Dallas,TX,UnitedStates",Semiconductors,$171.28 B,Texas Instruments Incorporated,TXN
950, Mr. Cristiano Renno Amon,United States," 45,000", JulyÂ 1985,"SanDiego,CA,UnitedStates",Semiconductors,$172.25 B,Qualcomm Incorporated,QCOM
951, Mr. John T. Stankey,United States," 203,000"," OctoberÂ 5, 1983","Dallas,TX,UnitedStates",Telecom Services,$175.88 B,AT&T Inc.,T
952, Mr. Lance M. Fritz,United States," 29,905", 1969Â ,"Omaha,NE,UnitedStates",Railroads,$184.19 B,Union Pacific Corporation,UNP
953,,China," 33,078",,"Ningde,China",Electrical Equipment & Parts,$185.67 B,Contemporary Amperex Technology Co. Ltd,300750
954, Mr. Huiyu  Tian MPA,China," 103,669",,"Shenzhen,China",Banks,$185.98 B,China Merchants Bank Co Ltd,600036
955, Mr. Christopher J. Kempczinski,United States," 100,000"," MayÂ 15, 1940","Chicago,IL,UnitedStates",Restaurants,$186.57 B,McDonald's Corporation,MCD
956,,China," 373,814",,"Beijing,China",Banks,$189.37 B,China Construction Bank Corp,601939
957, Ms. Carol B. Tome,United States," 267,890"," AugustÂ 28, 1907","Atlanta,GA,UnitedStates",Integrated Freight & Logistics,$190.50 B,"United Parcel Service, Inc.",UPS
958, Mr. Marc R. Benioff,United States," 73,541"," FebruaryÂ 3, 1999","SanFrancisco,CA,UnitedStates",SoftwareâApplication,$193.80 B,"salesforce.com, inc.",CRM
959, Mr. Shantanu  Narayen,United States," 25,988", DecemberÂ 1982,"SanJose,CA,UnitedStates",SoftwareâInfrastructure,$199.57 B,Adobe Inc.,ADBE
960, Mr. Charles W. Scharf,United States," 247,848", 1929,"SanFrancisco,CA,UnitedStates",Banks,$200.01 B,Wells Fargo & Company,WFC
961, Mr. Patrick P. Gelsinger,United States," 121,100"," JulyÂ 18, 1968","SantaClara,CA,UnitedStates",Semiconductors,$201.72 B,Intel Corporation,INTC
962," Mr. Pascal  Soriot D.V.M., M.B.A.",United Kingdom," 83,100", 6Â April 1999,"Cambridge,UnitedKingdom",Drug ManufacturersâGeneral,$201.75 B,AstraZeneca plc,AZN
963,,Switzerland," 104,323", MarchÂ 1996,"Basel,Switzerland",Drug ManufacturersâGeneral,$204.13 B,Novartis AG,NOVN
964, Mr. Ben  Van Beurden,United Kingdom," 87,000",,"London,UnitedKingdom",Oil & Gas Integrated,$207.68 B,Shell plc,SHEL
965, Mr. Guillaume M.J.D Faury,Netherlands," 121,056",,"Leiden,Netherlands",Aerospace & Defense,$97.41 B,Airbus SE,AIR
966, Mr. Joaquim Silva e Luna,Brazil," 46,416", 3 October 1953,"RioDeJaneiro,RJ,Brazil",Oil & Gas Integrated,$98.37 B,PetrÃ³leo Brasileiro S.A. - Petrobras,PBR
967, Mr. Oliver  Bate,Germany," 155,411",,"Munich,Germany",InsuranceâDiversified,$98.47 B,Allianz SE,ALV
968, Mr. Evan G. Greenberg,Switzerland," 31,000"," Hamilton, Bermuda 1985","Zurich,Switzerland",InsuranceâProperty & Casualty,$98.57 B,Chubb Limited,CB
969, Mr. Ola  Kallenius,Germany," 289,282",,"Stuttgart,Germany",Auto Manufacturers,$98.79 B,Daimler AG,DAI
970, Mr. H. Lawrence Culp Jr.,United States," 168,000"," AprilÂ 15, 1892","Boston,MA,UnitedStates",Specialty Industrial Machinery,$99.22 B,General Electric Company,GE
971, Mr. Fabrizio  Freda,United States," 44,640", 1946,"NewYork,NY,UnitedStates",Household & Personal Products,$100.16 B,The EstÃ©e Lauder Companies Inc.,EL
972, Mr. Douglas L. Peterson M.B.A.,United States," 22,850", 1917,"NewYork,NY,UnitedStates",Financial Data & Stock Exchanges,$100.84 B,S&P Global Inc.,SPGI
973, Mr. Kevin A. Lobo,United States," 46,000", 1941,"Kalamazoo,MI,UnitedStates",Medical Devices,$101.41 B,Stryker Corporation,SYK
974, Mr. Jack Marie Henry David Bowles,United Kingdom," 54,365", 1902,"London,UnitedKingdom",Tobacco,$101.44 B,British American Tobacco plc,BATS
975, Mr. William F. Gifford Jr.,United States," 6,000", 1985,"Richmond,VA,UnitedStates",Tobacco,$102.98 B,"Altria Group, Inc.",MO
976, Mr. Jun  Sawada,Japan," 324,667",,"Tokyo,Japan",Telecom Services,$103.75 B,Nippon Telegraph & Telephone Corp,9432
977, Mr. Yousef  Bin Abdullah Al-Benyan,Saudi Arabia,,,"Riyadh,SaudiArabia",Chemicals,$104.00 B,Saudi Basic Industries Corp,2010
978, Mr. Chuan-Fu  Wang,China," 224,280",,"Shenzhen,China",Auto Manufacturers,$104.42 B,BYD Co Ltd,002594
979, Mr. Thomas M. Rutledge,United States," 93,700", 1993,"Stamford,CT,UnitedStates",Entertainment,$104.97 B,"Charter Communications, Inc.",CHTR
980, Mr. Brian  Chesky,United States," 6,132", AugustÂ 2008,"SanFrancisco,CA,UnitedStates",Internet Content & Information,$105.07 B,"Airbnb, Inc.",ABNB
981,,Saudi Arabia," 15,078",,"Riyadh,SaudiArabia",Banks,$106.37 B,Al Rajhi Banking and Investment Corp,1120
982, Mr. Salil Satish Parekh,India," 292,067", 2 July 1981,"Bengaluru,India",Information Technology Services,$106.77 B,Infosys Limited,INFY
983, Mr. Brian C. Cornell,United States," 450,000"," JuneÂ 24, 1902","Minneapolis,MN,UnitedStates",Discount Stores,$106.89 B,Target Corporation,TGT
984, Mr. William R. McDermott,United States," 16,881", 2003,"SantaClara,CA,UnitedStates",SoftwareâApplication,$107.99 B,"ServiceNow, Inc.",NOW
985,,Brazil,,,"RiodeJaneiro,RJ,Brazil",Other Industrial Metals & Mining,$107.99 B,Vale SA,VALE3
986, Mr. Kevin R. Johnson,United States," 383,000"," MarchÂ 30, 1971","Seattle,WA,UnitedStates",Restaurants,$108.19 B,Starbucks Corporation,SBUX
987, Dr. Herbert  Diess,Germany," 645,318",,"Wolfsburg,Germany",Auto Manufacturers,$108.63 B,Volkswagen AG,VOW3
988, Ms. Jane Nind Fraser,United States," 220,092"," OctoberÂ 8, 1998","NewYork,NY,UnitedStates",Banks,$109.56 B,Citigroup Inc.,C
989, Ms. Emma N. Walmsley,United Kingdom," 90,096", DecemberÂ 2000,"Brentford,UnitedKingdom",Drug ManufacturersâGeneral,$109.98 B,GlaxoSmithKline plc,GSK
990, Dr. Roland  Busch Dipl.Phys.,Germany," 303,000",,"Munich,Germany",Specialty Industrial Machinery,$114.66 B,Siemens AG,SIE
991, Mr. Thomas A. Bartlett CPA,United States," 6,378", 1995,"Boston,MA,UnitedStates",REITâSpecialty,$115.11 B,American Tower Corporation (REIT),AMT
992, Mr. Ivan M. Menezes,United Kingdom," 27,783",,"London,UnitedKingdom",BeveragesâWineries & Distilleries,$115.58 B,Diageo plc,DGE
993, Mr. Sashidhar  Jagdishan,India," 134,412",,"Mumbai,India",Banks,$115.68 B,HDFC Bank Limited,HDB
994, Mr. Laurence Douglas Fink,United States," 18,400", 1988,"NewYork,NY,UnitedStates",Asset Management,$115.98 B,"BlackRock, Inc.",BLK
995, Mr. Alan W. Jope,United Kingdom," 148,012", 2Â September 1929,"London,UnitedKingdom",Household & Personal Products,$117.84 B,Unilever plc,ULVR
996, Mr. Arvind  Krishna,United States," 282,100"," JuneÂ 16, 1911","Armonk,NY,UnitedStates",Information Technology Services,$119.20 B,International Business Machines Corporation,IBM
997, Ms. Gail Koziara Boudreaux,United States," 98,200", Anthem and WellPoint Health Networks merger in 2004,"Indianapolis,IN,UnitedStates",Healthcare Plans,$119.80 B,"Anthem, Inc.",ANTM
998, Mr. Gary E. Dickerson,United States," 28,500"," NovemberÂ 10, 1967","SantaClara,CA,UnitedStates",Semiconductor Equipment & Materials,$121.12 B,"Applied Materials, Inc.",AMAT
999, Mr. Hamid R. Moghadam,United States," 2,053", 1983,"SanFrancisco,CA,UnitedStates",REITâIndustrial,$121.20 B,"Prologis, Inc.",PLD
