address,headquarters,industry,market_cap,name,number_of_employees,revenue,telephone,website
"Via Spagna 20, Rimini, 47921",Italy,Retailing,$930.5M,Marr SpA,"1,003",$1.7B,39 0541 746111,www.marr.it
"Praca Antonio Prado, 48 7 Andar, Centro, Sao Paulo, 01.010-901",Brazil,Financial Services,$15.4B,B3 SA,"2,135",$1.7B,55 11 25654000,www.b3.com.br
"Nhn Ent. Play Museum, 16, Daewangpangyo-Ro 645beon-Gil, Bundang-Gu, Seongnam, 13487",South Korea,Technology and Communications,$736.5M,NHN Corp,627,$1.7B,82 2 15446859,www.nhn.com
"345 Encinal Street, Santa Cruz, California, 95060",United States of America,Technology and Communications,,Plantronics Inc,"6,500",$1.7B,1 831 4203002,www.poly.com/us/en
"No.11, Jingke Road, Nantun District, Taichung, 408",Taiwan,Technology and Communications,$9.2B,Largan Precision Co Ltd,"6,285",$1.7B,886 4 36002345,www.largan.com.tw
"11/13, Botawala Building, 1st Floor, Office No. 2 -6, Horniman Circle Fort, Mumbai, Maharashtra, 400001",India,Consumer Packaged Goods,$8.5B,Tata Consumer Products Ltd,"2,932",$1.7B,,www.tataconsumer.com
"Block-C, Sector - 45, Gurgaon, 122003",India,Chemicals,$7.9B,SRF Ltd,"6,674",$1.7B,91 124 4354400,www.srf.com/index.html
"300 Kimball Dr Ste 101, Parsippany, New Jersey, 07054-2181",United States of America,Chemicals,$1.2B,AdvanSix Inc,"1,375",$1.7B,1 973 5261800,www.advansix.com
"1040 Spring St, Silver Spring, Maryland, 20910",United States of America,Pharmaceuticals and Healthcare,$11.8B,United Therapeutics Corp,965,$1.7B,1 301 6089292,www.unither.com
"Podium Level 2-4, Jiangsu Building, Yitian Road, Futian District, Shenzhen, Guangdong, 518057",China,Construction,$2.6B,Shenzhen Expressway Co Ltd,"7,032",$1.7B,86 755 82853330,www.sz-expressway.com
"11720 Plaza America Drive, 9th Floor, Reston, Virginia, 20190",United States of America,Business and Consumer Services,$1.4B,Stride Inc,"7,500",$1.7B,1 703 4837000,www.stridelearning.com
"16f, No.3 Building,Dnghhchng Mnsn, Zijin Digital Park, Zhichun Road, Haidian District, Beijing, 100190",China,Technology and Communications,$2.9B,DHC Software Co Ltd,"11,766",$1.7B,86 10 62662188,www.dhcc.com.cn
"No. 28, Weixin Road, Zhongxin Eclgcl Science Hub, Suzhou Industrial Park Zone, Beijing, 100015",China,Technology and Communications,$7.3B,360 Security Technology Inc,"7,393",$1.7B,86 10 56821816,www.360.cn
"Level 1, Harbour City Tower, 29 Brandon Street, Wellington, 6011",New Zealand,Power,$4.0B,Contact Energy Ltd,"1,179",$1.7B,64 4 4994001,contact.co.nz
"9f, No.360, Ruei Guang Road, Neihu District, Taipei, 114",Taiwan,Technology and Communications,$272.0M,Alltek Technology Corp,645,$1.7B,886 2 26275859,www.alltek.com
"3-14-15, Nishiki, Naka-Ku, Nagoya-Shi, Aichi, 460-0003",Japan,Consumer Packaged Goods,$2.2B,Kagome Co Ltd,"2,822",$1.7B,81 52 9513571,www.kagome.co.jp
"Plot No. J-I, Block B-I, Mohan Co-operative Industrial Area, Mathura Road, New Delhi, 110044",India,Consumer Packaged Goods,$1.8B,Radico Khaitan Ltd,"1,196",$1.7B,91 11 40975444,www.radicokhaitan.com
"3150 Sabre Dr, Southlake, Texas, 76092-2103",United States of America,Technology and Communications,$2.2B,Sabre Corp,"7,583",$1.7B,1 682 6051000,investors.sabre.com
"3f, Liber, 2-183, Takeya-Cho, Amagasaki-Shi, Hyogo, 660-0876",Japan,Retailing,$7.8B,MonotaRO Co Ltd,994,$1.7B,81648697111,www.monotaro.com
"685 3rd Ave Fl 27, New York, 10017-4024",United States of America,Technology and Communications,$17.4B,Ubiquiti Inc,"1,377",$1.7B,1 646 7807958,www.ui.com
"Campo Grande Building, Rua Actor Antonio Silva nº9, Lumiar, Lisboa , 1600-404",Portugal,Media,$2.2B,NOS SGPS SA,"2,337",$1.7B,351 21 7824700,www.nos.pt
"2700 Milan Court, Birmingham, Alabama, 35211",United States of America,Retailing,$855.2M,Hibbett Sports Inc,"3,600",$1.7B,1 205 9424292,www.hibbett.com
"No. 35, Jiuhuan Road, Jianggan District, Hangzhou, Zhejiang, 310019",China,Industrial Goods and Machinery,$3.6B,Hangzhou Great Star Industrial Co Ltd,"10,778",$1.7B,86 571 81601076,www.greatstartools.com
"221 East 4th Street, Cincinnati, Ohio, 45202",United States of America,Technology and Communications,,Cincinnati Bell Inc,"5,200",$1.7B,1 513 3979900,www.cincinnatibell.com
"Bauer-Strasse 1, Schrobenhausen, 86529",Germany,Construction,$176.3M,Bauer AG,"11,821",$1.7B,49 825 2970,www.bauer.de
"Low Fare Finder House, White House Lane, Leeds, LS197TU",United Kingdom,Transport and Logistics,$2.8B,Jet2 Plc,"8,270",$1.7B,44 113 2387444,www.jet2plc.com
"Shinjuku Maynds Tower, 2-1-1, Yoyogi, Shibuya-Ku, Tokyo, 1510053",Japan,Technology and Communications,$6.8B,Trend Micro Inc,"7,024",$1.7B,81 3 53343618,www.trendmicro.com
"28 Esplanade, Breedon Quarry, Breedon On The Hill, Saint Helier, JE23QA",United Kingdom,Construction,$1.3B,Breedon Group PLC,"3,457",$1.7B,44 1332 694010,www.breedongroup.com
"Kungstensgatan 18, Stockholm, 11357",Sweden,Medical Equipment,$2.6B,Elekta AB,"4,723",$1.7B,46 8 5872544646,www.elekta.com
"Heiwaodori Denki Bldg., 6-12, Koami-Cho, Naka-Ku, Hiroshima-Shi, 730-0855",Japan,Construction,$942.0M,Chudenko Corp,"4,531",$1.7B,81 82 2917411,www.chudenko.co.jp
"9975 Summers Ridge Road, San Diego, California, 92121",United States of America,Medical Equipment,,Quidel Corp,"1,600",$1.7B,1 858 5521100,www.quidel.com
"1600 West 7th Street, Fort Worth, Texas, 76102",United States of America,Financial Services,$4.0B,Firstcash Holdings Inc,"17,000",$1.7B,1 817 2582650,www.firstcash.com
"Cesc House, Chowringhee Square, Kolkata, 700001",India,Power,$1.2B,CESC Ltd,"6,920",$1.7B,91 33 22256040,www.cesc.co.in
"Bulmers House, Keeper Road, Dublin, D12K702",Ireland,Consumer Packaged Goods,$800.1M,C&C Group plc,"2,822",$1.7B,353 1 5063900,candcgroupplc.com
"22 W Washington St, Chicago, Illinois, 60602",United States of America,Business and Consumer Services,$10.2B,Morningstar Inc,"10,767",$1.7B,1 312 6966000,www.morningstar.com
"Akersgata 55, Oslo, 0180",Norway,Media,$4.9B,Schibsted ASA,"5,689",$1.7B,47 2 3106600,schibsted.com
"Aurum House, 2 Elland Road, Leicester, LE31TT",United Kingdom,Retailing,$2.9B,Watches Of Switzerland Group PLC,"2,253",$1.7B,44 116 2322000,www.thewosgroupplc.com
"57 Marina, Lagos",Nigeria,Financial Services,$615.2M,United Bank for Africa Plc,"10,281",$1.7B,234 1 6319822,www.ubagroup.com
"Blake House 3 Frayswater Place, Cowley, Uxbridge, Middlesex, UB82AD",United Kingdom,Construction,$223.8M,Galliford Try Holdings Plc,"3,016",$1.7B,01 895 855001,www.gallifordtry.co.uk
"401 Park Drive Suite 801, Boston, Massachusetts, 02215",United States of America,Technology and Communications,$10.6B,Toast Inc,"3,172",$1.7B,1 617 2971005,pos.toasttab.com
"1 Bedford Avenue, London, England, WC1B3AU",United Kingdom,Leisure and Arts,,William Hill Ltd,"11,615",$1.7B,44 20 89183600,www.williamhillplc.com/
"Klaus-Bungert-Strasse 4, Duesseldorf, 40468",Germany,Paper and Packaging,$2.4B,Gerresheimer AG,"10,937",$1.7B,49 211 618100,www.gerresheimer.com
"1201 N. Town Center Drive, Las Vegas, Nevada, 89144",United States of America,Transport and Logistics,$1.5B,Allegiant Travel Co,"5,226",$1.7B,1 702 8517300,www.allegiantair.com
"Rivergate, Handelskai 92, Vienna, Wien, 1200",Austria,Paper and Packaging,,Constantia Flexibles Group GmbH,"8,750",$1.7B,43 1 8885640,www.cflex.com
"400 NORTH ASHLEY DRIVE, STE 2800, Tampa, Florida, 33602",United States of America,Business and Consumer Services,,Sykes Enterprises Inc,"61,100",$1.7B,1 813 2741000,www.sykes.com
"Lingfield Way, Darlington, DL14PZ",United Kingdom,Automotive,$1.2B,Redde Northgate Plc,"6,700",$1.7B,44 1325 467558,reddenorthgate.co.uk
"Route De Faraz 3, Mex, Lausanne, 1031",Switzerland,Industrial Goods and Machinery,,Bobst Group SA,"5,915",$1.7B,41 21 6212111,www.bobst.com
"28 Oktovriou, 232, Oceanic Building, Flat/Office 501, Limassol, 3107",Cyprus,Media,$1.7B,VK Co Ltd,"10,000",$1.7B,,vk.company/en
"Aquilino De La Guardia Calle No. 8, Panama City, 110911",Panama,Transport and Logistics,$3.8M,Avianca Holdings SA,"20,865",$1.7B,507 2 05600,www.aviancataca.com
"644 E Beaton Dr, West Fargo, North Dakota, 58078-2648",United States of America,Retailing,$926.7M,Titan Machinery Inc,"2,288",$1.7B,1 701 3560130,www.titanmachinery.com
"Longteng Road, Economic Development Zone, Xinyu, Jiangxi, 338000",China,Chemicals,$21.4B,Ganfeng Lithium Group Co Ltd,"8,835",$1.7B,86 790 6415606,www.ganfenglithium.com
"Gphouse, Basundhara, Baridhara, Dhaka, 1229",Bangladesh,Technology and Communications,$3.7B,Grameenphone Ltd,"1,636",$1.7B,880 2 9882990,www.grameenphone.com
"L 30 85 Castlereagh St, Sydney, New South Wales, 2000",Australia,Construction,$10.9B,Scentre Group Ltd,"2,780",$1.7B,61 2 93587877,www.scentregroup.com
"1001 Ridder Park Dr, San Jose, California, 95131-2314",United States of America,Technology and Communications,$4.0B,Lumentum Holdings Inc,"6,815",$1.7B,1 408 5465483,investor.lumentum.com
"No.11 Building, Qiaotou, Fuyong Town, Fuqiao Industrial Area 3,Baoan District, Shenzhen, Guangdong, 518103",China,Technology and Communications,$2.2B,Shenzhen Everwin Precision Technology Co Ltd,"29,181",$1.7B,86 755 27347334,www.ewpt.com
"No. 45, Xinyuan Street, Chaoyang District, Beijing, 100027",China,General Business,$38.5M,Beijing Jingkelong Co Ltd,"4,659",$1.7B,86 10 64688233,www.jkl.com.cn
"Orionintie 5, Espoo, 02200",Finland,Pharmaceuticals and Healthcare,$359.2M,Oriola Corp,892,$1.7B,358 10 42999,www.oriola.com
"19f, Ebisu Garden Place Tower, 4-20-3, Ebisu, Shibuya-Ku, Tokyo, 150-6019",Japan,Chemicals,$3.5B,NOF Corp,"3,787",$1.7B,81 3 54246600,www.nof.co.jp
"Ksd1, L 1 485 Kingsford Smith Drive, Brisbane, Queensland, 4007",Australia,Leisure and Arts,$4.6B,Domino's Pizza Enterprises Ltd,743,$1.7B,61 7 36333333,www.dominos.com.au
"No. 8, Kangda Road, Dongchengpian, Yunpu Industry Zone, Huangpu District, Guangzhou, Guangdong, 510700",China,Chemicals,$13.4B,Guangzhou Tinci Materials Technology Co Ltd,"4,020",$1.7B,86 20 66608666,www.tinci.com
"11270 W Park Pl Ste 1000, Milwaukee, Wisconsin, 53224-3643",United States of America,Construction,$433.1M,The Manitowoc Co Inc,"4,600",$1.7B,1 414 7604600,www.manitowoc.com
"128, Chungjusandan 1-Ro, 27329",South Korea,Industrial Goods and Machinery,$971.4M,Hyundai Elevator Co Ltd,"1,874",$1.7B,82 43 7221000,hyundaielevator.co.kr
"No.500, Hexi Village, Luxi Village, Committee, Niutang Town, Wujin District, Changzhou, Jiangsu, 213168",China,Agriculture and Forestry,$2.6B,Jiangsu Lihua Animal Husbandry Co Ltd,"6,298",$1.7B,86 519 86350908,www.lihuamuye.com
"7900 Tysons One Place, Suite 1450, Mclean, Virginia, 22102",United States of America,Technology and Communications,,GTT Communications Inc,"3,100",$1.7B,1 703 4425500,www.gtt.net
"Building No. 120/4 Block No.: 311, Airport Heights, Seeb Street No.: 62 P, P.O.Box 134, Muscat, 112",Oman,Financial Services,$5.5B,Bank Muscat,"3,920",$1.7B,968 24 795555,www.bankmuscat.com
"Veurse Achterweg 10, Leidschendam, 2264SG",Netherlands,Energy and Utilities,$1.4B,Fugro NV,"9,000",$1.7B,31 70 3111422,www.fugro.com
"Two International Place, Boston, Massachusetts, 02110",United States of America,Financial Services,,Eaton Vance Corp,"1,983",$1.7B,1 617 4828260,www.eatonvance.com/
"Longteng Road, Economic Development Zone, Xinyu, Jiangxi, 338000",China,Metals and Mining,$23.6B,Jiangxi Ganfeng Lithium Co Ltd,"7,870",$1.7B,86 790 6415606,www.ganfenglithium.com
"600 N Centennial St, Zeeland, Michigan, 49464",United States of America,Automotive,$6.7B,Gentex Corporation,"4,998",$1.7B,1 616 7721800,www.gentex.com
"Exide House, 59e, Chowringhee Road, Kolkata, 700020",India,Industrial Goods and Machinery,$1.9B,Exide Industries Ltd,"5,163",$1.7B,91 33 23023400,www.exideindustries.com
"L 28 200 George St, Sydney, New South Wales, 2000",Australia,Construction,$6.2B,Mirvac Group,"1,550",$1.7B,61 2 90808000,www.mirvac.com
"Gainey Center Ii, Suite 280, 8501 N Scottsdale Road, Arizona, 85253",United States of America,Alternative Energy,$576.4M,TPI Composites Inc,"14,000",$1.7B,1 480 3058910,www.tpicomposites.com
"Level 6, The Centre, Tigne Point, Sliema, TPO0001",Malta,Leisure and Arts,$2.2B,Kindred Group plc,"2,253",$1.7B,356 21 333532,www.kindredgroup.com
"Bei St. Annen 1, Hamburg, 20457",Germany,Transport and Logistics,$1.0B,Hamburger Hafen und Logistik AG,"6,593",$1.7B,49 40 30880,hhla.de
"145 Hunter Dr, Wilmington, Ohio, 45177",United States of America,Transport and Logistics,$2.0B,Air Transport Services Group Inc,"5,280",$1.7B,1 937 3825591,www.atsginc.com
"3-12f, No. 149, Section 2, Minsheng, East Road, Jhongshan District, Taipei, 104",Taiwan,Financial Services,$7.6B,The Shanghai Commercial & Savings Bank Ltd,"6,948",$1.7B,886 2 25817111,www.scsb.com.tw
"No.36 Building, No.8 Courtyard, Dongbeiwang West Road, Haidian District, Beijing, 100193",China,Technology and Communications,$5.1B,Dawning Information Industry Co Ltd,"4,103",$1.7B,86 10 56308016,www.sugon.com
"Triniti 3, L 5 39 Delhi Rd, North Ryde, New South Wales, 2113",Australia,Construction,$1.7B,CSR Ltd,"2,573",$1.7B,61 2 92358000,www.csr.com.au
"1600 E Plano Parkway, Texas, 75074",United States of America,Retailing,,At Home Group Inc,"7,692",$1.7B,1 972 2656227,www.athome.com
"210 Sixth Avenue, Pittsburgh, Pennsylvania, 15222",United States of America,Clean Technology,$5.0B,Evoqua Water Technologies Corp,"4,500",$1.7B,1 724 7720044,aqua.evoqua.com/news-and-events/news/default.aspx
"110, Sinhang-Ro, Nam-Gu, Pohang, 37918",South Korea,Construction,$12.1B,POSCO Chemical Co Ltd,"1,324",$1.7B,82 54 2900114,www.poscochemical.com
"1109 Mckay Drive, San Jose, California, 95131-1706",United States of America,Technology and Communications,$4.5B,Synaptics Inc,"1,775",$1.7B,1 408 9041100,www.synaptics.com
"Philippine National Bank Financial Centr, Pres. Diosdado Macapagal Boulevard, Manila, 1300",Philippines,Financial Services,$549.7M,Philippine National Bank,"8,550",$1.7B,63 2 85263131,www.pnb.com.ph
"250 Royal Oak Rd, Cambridge, Ontario, N3E0A4",Canada,Industrial Goods and Machinery,$3.5B,ATS Automation Tooling Systems Inc,"6,000",$1.7B,1 519 6536500,www.atsautomation.com
"1-13-15, Akebono-Cho, Fukuyama-Shi, Hiroshima, 721-8607",Japan,Paper and Packaging,$2.3B,FP Corp,"4,792",$1.7B,81 84 9531145,www.fpco.jp
"Willy-Messerschmitt-Strasse 3, Taufkirchen, 82024",Germany,Aerospace and Defense,$2.8B,Hensoldt AG,"6,364",$1.7B,49 89 515180,www.hensoldt.net
"100 East Ridge Road, Ridgefield, Connecticut, 06877",United States of America,Wholesale,$1.4B,The Chefs' Warehouse Inc,"2,712",$1.7B,1 203 8941345,www.chefswarehouse.com
"3rd Floor, 10 The High Street, Melrose Arch, Johannesburg, 2076",South Africa,Construction,$114.1M,Aveng Ltd,"5,210",$1.7B,27 11 7792800,www.aveng.co.za
"Bahrain Bay, P.O. Box 1882, Manama, 346",Bahrain,Financial Services,$403.9M,Al Baraka Banking Group BSc,"12,026",$1.7B,973 1 7541122,www.albaraka.com
"First Circle, Jabal Amman, P.O.Box 1079, 11118",Jordan,Energy and Utilities,$887.8M,Jordan Petroleum Refinery Co Ltd,"1,883",$1.7B,962 6 4630151,www.jopetrol.com.jo
"102 Duffy Avenue, Hicksville, New York, 11801",United States of America,Financial Services,$6.5B,New York Community Bancorp Inc,"2,815",$1.8B,1 516 6834100,ir.mynycb.com
"Industriveien 51, Kverva, Froya, 7266",Norway,Consumer Packaged Goods,$6.1B,SalMar ASA,"1,828",$1.8B,47 72 447900,www.salmar.no
"Starts Yaesu Chuo Bldg., 3-4-10, Nihonbashi, Chuo-Ku, Tokyo, 103-0027",Japan,Construction,$1.0B,Starts Corporation Inc,"4,729",$1.8B,81 3 62020111,www.starts.co.jp
"120 Bothwell Street, Glasgow, G27JS",United Kingdom,Business and Consumer Services,,Aggreko Ltd,"6,408",$1.8B,44 141 2255900,www.plc.aggreko.com
"12755 E 9 Mile Rd, Warren, Michigan, 48089-2621",United States of America,Transport and Logistics,$922.6M,"Universal Logistics Holdings, Inc.","8,004",$1.8B,1 586 9200100,www.universallogistics.com
"No. 19, Gongye Middle Road, Xinluo District, Longyan, Fujian, 364000",China,Industrial Goods and Machinery,$2.7B,Fujian Longking Co Ltd,"7,717",$1.8B,86 597 2210288,www.longking.com.cn
"6295 Allentown Blvd Ste 1, Harrisburg, Pennsylvania, 17112-2693",United States of America,Retailing,$3.3B,Ollie's Bargain Outlet Holdings Inc,"4,700",$1.8B,17176572300,investors.ollies.us
"614 Chapala Street, Santa Barbara, California, 93101",United States of America,Technology and Communications,$2.3B,Sonos Inc,"1,844",$1.8B,1 805 9653001,www.sonos.com
"Level 22, Liberty Place, 161 Castlereagh Street, Sydney, New South Wales, 2000",Australia,Pharmaceuticals and Healthcare,$1.3B,Healius Ltd,"11,000",$1.8B,61 2 94329400,www.healius.com.au
"2 Wells Avenue, Newton, Massachusetts, 02459",United States of America,Business and Consumer Services,$4.4B,Bright Horizons Family Solutions Inc,"25,800",$1.8B,1 617 6738000,investors.brighthorizons.com
"300-1255 Av. Greene, Westmount, Quebec, H3Z2A4",Canada,Consumer Packaged Goods,$151.5M,Dorel Industries Inc,"4,200",$1.8B,1 514 9343034,www.dorel.com
"C.So Francia, 110, Torino, 10143",Italy,Technology and Communications,$4.9B,Reply SpA,"11,606",$1.8B,39 011 7711594,www.reply.com
"The Drive, Brentwood, CM133AT",United Kingdom,Construction,,Countryside Partnerships Plc,"2,045",$1.8B,44 1277 260000,www.countrysideproperties.com
"Building A3, E-Park,280 Hanxi Road, Panyu District, Guangzhou, Guangdong, 511446",China,Technology and Communications,$1.1B,HUYA Inc,"2,067",$1.8B,86 20 22907829,www.huya.com
"442 Nguyen Thi Minh Khai, Phuong 05, Quan 3, Ho Chi Minh",Vietnam,Financial Services,$3.7B,Asia Commercial Joint Stock Bank,"12,583",$1.8B,84 8 39290999,www.acb.com.vn
"901 Hector Street, One Quaker Park, Conshohocken, Pennsylvania, 19428",United States of America,Chemicals,$3.3B,Quaker Chemical Corp,"4,700",$1.8B,1 610 8324000,home.quakerhoughton.com
"Park Place, Suite 3400 - 666 Burrard Street, Vancouver, British Columbia, V6C2X8",Canada,Metals and Mining,$4.4B,B2Gold Corp,"4,689",$1.8B,1 604 6012962,www.b2gold.com
"6-17, Akashi-Cho, Chuo-Ku, Tokyo, 104-0044",Japan,Transport and Logistics,$1.2B,Nikkon Holdings Co Ltd,"12,669",$1.8B,81 3 35415330,www.nikkon-hd.co.jp
"762, Mesaki-Cho, Fuchu-Shi, Hiroshima, 726-8628",Japan,Construction,$301.9M,Ryobi Ltd,"7,243",$1.8B,81 84 7411111,www.ryobi-group.co.jp
"The Woodlands, Woodmead, Johannesburg, 2146",South Africa,Chemicals,$535.6M,AECI Ltd,"6,973",$1.8B,27 11 8068700,www.aeciworld.com
"23-27f, Ces Tower, No.3099 Keyuan, South Road, Technology Park, Nansha, Shenzhen, Guangdong, 518052",China,Technology and Communications,$558.7M,LexinFintech Holdings Ltd,"3,896",$1.8B,86 755 36378888,ir.lexinfintech.com
"5505 Endeavor Lane, Madison, Wisconsin, 53719",United States of America,Medical Equipment,$12.1B,Exact Sciences Corp,"6,420",$1.8B,1 608 2845700,www.exactsciences.com
"Sunward Industrial Park, No.16 Lixang Middle Road, Xingsha, Changsha, Hunan, 410100",China,Industrial Goods and Machinery,$974.5M,Sunward Intelligent Equipment Co Ltd,"5,989",$1.8B,86 731 86407826,www.sunward.com.cn
"Plot No. 35-36, Kaushambi, Ghaziabad 201010, 201010",India,Metals and Mining,$4.0B,APL Apollo Tubes Ltd,"2,137",$1.8B,91 120 4041400,www.aplapollo.com
"1300 W 120th Ave, Westminster, Colorado, 80234-2726",United States of America,Technology and Communications,$3.8B,Maxar Technologies Inc,"4,400",$1.8B,1 303 6844000,www.maxar.com
"Sankt-Peterburg, Ul. Kazanskaya, D. 36, Lit. B, 4 Etazh, Saint Petersburg, 190031",Russia,Construction,$688.9M,LSR Group,"9,934",$1.8B,7 812 3154419,www.lsrgroup.ru
"5700 Explorer Drive, Suite 400, Etobicoke, Ontario, L4W0C6",Canada,Construction,$341.9M,Bird Construction Inc,"1,588",$1.8B,1 905 6024122,www.bird.ca
"Tokiwabashi Tower, 2-6-4, Ote-Machi, Chiyoda-Ku, Tokyo, 100-8370",Japan,Metals and Mining,$405.0M,Furukawa Co Ltd,"2,804",$1.8B,81 3 66369501,www.furukawakk.co.jp
"Suite 1100, 601 West Riverside Avenue, Spokane, Washington, 99201",United States of America,Paper and Packaging,$591.1M,Clearwater Paper Corp,"3,000",$1.8B,1 509 3445900,www.clearwaterpaper.com
"77 Tran Hung Dao - Hoan Kiem, Hanoi",Vietnam,Financial Services,$1.5B,Saigon - Hanoi Commercial Joint Stock Bank,"8,717",$1.8B,84 4 39423388,www.shb.com.vn
"4400 Biscayne Blvd., Miami, Florida, 33137",United States of America,Medical Equipment,$1.2B,OPKO Health Inc,"5,767",$1.8B,1 305 5754181,www.opko.com
"Ub Towers, 24 Vittal Mallya Road, Ub City, Bangalore, Karnataka, 560001",India,Consumer Packaged Goods,$5.2B,United Breweries Ltd,"2,837",$1.8B,91 80 22293333,www.unitedbreweries.com
"1-8-1, Tatsumi-Nishi, Ikuno-Ku, Osaka-Shi, 544-8666",Japan,Pharmaceuticals and Healthcare,$4.1B,Rohto Pharmaceutical Co Ltd,"6,866",$1.8B,81 6 67581231,www.rohto.co.jp
"Ste 340, 6584 Poplar Ave, Memphis, Tennessee, 38138",United States of America,Construction,$18.2B,Mid-America Apartment Communities Inc,"2,429",$1.8B,1 901 6826600,www.maac.com
